step,x,y
57,5.189210299337811,-0.865824132488272
58,5.2767771858786725,-0.9141153213269994
59,5.381751561187567,-0.9722562927644304
60,5.451625283492888,-1.011213429983172
61,5.53878281435516,-1.060239405976424
62,5.6256898837631715,-1.1097079520225481
63,5.712322846754115,-1.1596549593741983
64,5.798674146160106,-1.2100873635076057
65,5.884756980243315,-1.2609766979422152
66,5.9705904177830424,-1.3122855902408426
67,6.056186446430228,-1.3639895825304167
68,6.141550051792383,-1.4160764210334644
69,6.226691947509068,-1.4685249076678073
70,6.311632368432332,-1.5212990901105636
71,6.396405726694986,-1.574341257570755
72,6.481062398105133,-1.6275694992947438
73,6.565670670245891,-1.6808746606921585
74,6.650321108534918,-1.7341128125469716
75,6.735104239169372,-1.7871393338551471
76,6.8200930248378455,-1.8398355339381438
77,6.90533331128758,-1.8921238956186082
78,6.990823207224739,-1.944003187982078
79,7.076506087461821,-1.9955632230883895
80,7.162269167313639,-2.0469898114806186
81,7.24796906871364,-2.098521560244293
82,7.333467407819733,-2.150386883954583
83,7.4186360588690645,-2.2027916016048152
84,7.5033549323648145,-2.2559200905625896
85,7.587510144353564,-2.3099366700604396
86,7.670992640175394,-2.3649869014391194
87,7.753697174620103,-2.421198808610103
88,7.835521571054195,-2.4786840231319673
89,7.916366198058701,-2.5375388585817427
90,7.980270918028057,-2.5856644169456438
91,8.074728345049015,-2.659672044579114
92,8.136696810960604,-2.7102661576795364
93,8.228026983823439,-2.7880993183781295
94,8.302548975648618,-2.854778064458426
95,8.375534489507269,-2.923134992614325
96,8.446897181038267,-2.9931842275823626
97,8.516553888717878,-3.0649299673731396
98,8.584467245804753,-3.1383282955033525
99,8.650725388928256,-3.2132248437873474
100,8.715514670193075,-3.289396207274217
101,8.791537290864968,-3.382240761495229
102,8.85354232139684,-3.4606957023999367
103,8.902251970971193,-3.5241565544170723
104,8.973692154630672,-3.62057113483057
105,9.020180013244916,-3.685677008005872
106,9.077061825368219,-3.767922077906848
107,9.132764825350407,-3.850970528728435
108,9.187591481334355,-3.934600527475257
109,9.241855427331815,-4.0185969782067374
110,9.295843741221846,-4.102770961754969
111,9.349817216314426,-4.186954466769519
112,9.404011874444205,-4.270995682611473
113,9.458640446553058,-4.354755370184603
114,9.513893799279579,-4.438104070642516
115,9.569941960598607,-4.520920198765273
116,9.626918880329235,-4.603099959994048
117,9.696587272560189,-4.700803941159808
118,9.743781828188899,-4.765399862672571
119,9.803486560611665,-4.845620076700131
120,9.863742554821247,-4.92542730132282
121,9.92427464219734,-5.00502543839618
122,9.972731086313773,-5.068680546236488
123,10.045195985468455,-5.164329991694211
124,10.10515563254598,-5.244360037577327
125,10.164525034924988,-5.324828755682684
126,10.211478479230648,-5.389600185681141
127,10.280810971457976,-5.487542784838185
128,10.337415719377187,-5.569979069059133
129,10.392803804613704,-5.653237472258446
130,10.446842714655995,-5.737377600776369
131,10.499407639667913,-5.822446147685547
132,10.550380838792751,-5.908477694473721
133,10.599651134972548,-5.99549549959073
134,10.656380207971866,-6.101235915165786
135,10.692668783806779,-6.172530890221128
136,10.736223342620775,-6.262545166949587
137,10.77768893184294,-6.353540484152619
138,10.816982472875535,-6.445494469860132
139,10.861158066455229,-6.557062674776258
140,10.88874610985268,-6.6321538407049925
141,10.921093658753943,-6.726774739240049
142,10.951147843908501,-6.822149285276595
143,10.979091610996013,-6.91816371307755
144,11.005019902206518,-7.014741996570586
145,11.028927835270883,-7.111840112316566
146,11.050844225202951,-7.2094072835912515
147,11.071026319241419,-7.307348473183303
148,11.089878774705289,-7.405554766116683
149,11.107803291948814,-7.503934969546429
150,11.125163469053255,-7.602416494518017
151,11.142287909927772,-7.700939348851327
152,11.15947382136489,-7.799451484555418
153,11.176990100438978,-7.8979053416176
154,11.195079995376924,-7.996255302958034
155,11.213947929565196,-8.094458864167958
156,11.233673548132716,-8.192493729791696
157,11.254268167211372,-8.290349726377064
158,11.275716783383814,-8.38802211938655
159,11.297927711306732,-8.485524090330856
