Wall time,Step,Value
1747878406.9041097,1352,-170.43946838378906
1747878436.882234,1356,-116.1871109008789
1747878497.3975651,1364,-213.0764923095703
1747878588.9496908,1376,-163.49049377441406
1747878619.5110996,1380,-221.44956970214844
1747878650.9068441,1384,-212.91818237304688
1747878681.8837922,1388,-114.3496322631836
1747878743.9450316,1396,-192.561279296875
1747878806.2201908,1404,-204.98768615722656
1747878867.2605574,1412,-185.29049682617188
1747878898.3170154,1416,-74.15457153320312
1747878929.4454129,1420,-206.71917724609375
1747878959.6294825,1424,-162.89125061035156
1747879054.3496919,1436,-148.46536254882812
1747879115.9069521,1444,-136.943359375
1747879177.504653,1452,-214.62039184570312
1747879208.5848918,1456,-164.74192810058594
1747879238.7117271,1460,-167.79344177246094
1747879269.6306727,1464,-93.89202117919922
1747879300.0492659,1468,-105.33245086669922
1747879330.5084834,1472,-192.46510314941406
1747879361.5660152,1476,-79.88774108886719
1747879547.5790029,1500,-201.07244873046875
1747879639.9338343,1512,-98.70189666748047
1747879671.7190847,1516,-73.54271697998047
1747879795.539406,1532,-165.83790588378906
1747879889.3854353,1544,-48.476593017578125
1747879921.9439492,1548,-195.76400756835938
1747880048.0011904,1564,-79.56218719482422
1747880078.7612529,1568,-181.1075897216797
1747880109.8423393,1572,-101.62469482421875
1747880139.8615527,1576,-131.0712432861328
1747880170.080888,1580,-213.50051879882812
1747880202.6331542,1584,-110.24835205078125
1747880232.6849287,1588,-223.5704803466797
1747880262.7365866,1592,-207.0729522705078
1747880293.684722,1596,-208.545166015625
1747880323.896929,1600,-208.15509033203125
1747880384.5006077,1608,-18.85053062438965
1747880414.8772905,1612,-110.34048461914062
1747880476.2467787,1620,-195.9043731689453
1747880599.9935553,1636,-212.2657470703125
1747880630.0917757,1640,-193.22320556640625
1747880722.7111695,1652,-181.63845825195312
1747880754.7101579,1656,-175.21800231933594
1747880785.0327866,1660,-51.79781723022461
1747880815.1347058,1664,-9.609519004821777
1747880906.7600195,1676,-217.5039520263672
1747881000.9734313,1688,-215.3965301513672
1747881031.2725585,1692,-153.01930236816406
1747881126.323562,1704,-76.69235229492188
1747881157.5047853,1708,-185.7247314453125
1747881280.7224572,1724,-86.69905090332031
1747881312.509404,1728,-187.57882690429688
1747881405.6806302,1740,-65.0589828491211
1747881436.5228229,1744,-210.94320678710938
1747881467.7372396,1748,-96.26669311523438
1747881498.1594281,1752,-199.00714111328125
1747881529.1977062,1756,-77.09150695800781
1747881560.1254666,1760,-140.49200439453125
1747881590.525852,1764,-152.6521759033203
1747881621.9121196,1768,-109.72164916992188
1747881685.4246333,1776,-70.75325012207031
1747881716.3811407,1780,-129.4346923828125
1747881748.2438998,1784,-81.62998962402344
1747881779.2981048,1788,-109.70972442626953
1747881904.0741067,1804,-214.43511962890625
1747881936.1120746,1808,-196.01695251464844
1747881967.9675071,1812,-123.25154113769531
1747881997.908323,1816,-67.3016586303711
1747882028.038242,1820,-123.96398162841797
1747882089.4472294,1828,-101.91532135009766
1747882150.715804,1836,-108.7895278930664
1747882213.0313563,1844,-196.92266845703125
1747882243.3514938,1848,-96.49951934814453
1747882335.7322133,1860,-110.01407623291016
1747882366.7364726,1864,-191.0069580078125
1747882398.468915,1868,-185.76358032226562
1747882461.307421,1876,-119.97679901123047
1747882523.396135,1884,-213.121337890625
1747882649.144314,1900,-219.8954315185547
1747882679.568716,1904,-176.41375732421875
1747882772.9167852,1916,-44.33387756347656
1747882803.8921275,1920,-232.0076904296875
1747882834.0758915,1924,-93.39286804199219
1747882864.2699783,1928,-227.46400451660156
1747882894.648494,1932,-216.57333374023438
1747882925.5950618,1936,-206.8361053466797
1747882955.6143088,1940,-188.00228881835938
1747883018.5802314,1948,-181.42547607421875
1747883048.9832993,1952,-68.6061019897461
1747883079.1735168,1956,-155.4954833984375
1747883110.0238245,1960,-30.075410842895508
1747883172.8594198,1968,-175.5517578125
1747883265.9708896,1980,-190.487060546875
1747883391.8761208,1996,-119.40904235839844
1747883484.1854117,2008,-104.26094818115234
1747883515.3605819,2012,-184.76211547851562
1747883545.5615823,2016,-124.81181335449219
1747883637.906776,2028,-177.6313934326172
1747883698.487083,2036,-213.67739868164062
1747883729.7050698,2040,-135.1973114013672
1747883761.827747,2044,-215.76307678222656
1747883791.6840293,2048,-113.48881530761719
1747883821.7250936,2052,-184.69403076171875
1747883852.6165164,2056,-62.741817474365234
1747883884.6449196,2060,-156.41390991210938
1747883979.4140315,2072,-98.59516143798828
1747884010.3195453,2076,-154.29307556152344
1747884040.2976346,2080,-161.87860107421875
1747884072.0509927,2084,-133.4130401611328
